Nombre,Direccion,Longitud,Latitud
Abril Casa Boutique,"C. Coahuila #145, entre Ecuador y Perú, Barrio de Sta Ana, 24050 San Francisco de Campeche, Camp.",-90.523444,19.838521
Academia de Natación Reveles Campeche,"Nevada 34, entre chubasco y Av tormenta, Fracciorama 2000, 24090 San Francisco de Campeche, Camp.",-90.532401,19.829505
Accesorios Alejandro Herdz,"Los Mangos 27, Fovissste Belén, 24050 San Francisco de Campeche, Camp.",-90.531783,19.832932
ACCESORIOS EL BORREGO,"Av Aviación 198, Cuatro Caminos, 24070 San Francisco de Campeche, Camp.",-90.511636,19.834156
ACI Consultores,"Privada de Coahuila 11, Barrio de Sta Ana, 24060 San Francisco de Campeche, Camp.",-90.521792,19.837154
Acosta Gordillo Construcciones y Tecnología S.A de C.V.,"C. Jalisco 166, Tomás Aznar, 24060 San Francisco de Campeche, Camp.",-90.520033,19.834809
ACTIVAMED Centro de Medicina Deportiva y Rehabilitación,"Av Adolfo Ruiz Cortinez 18-A, Área Ah, 24000 San Francisco de Campeche, Camp.",-90.535794,19.849202
Administracion local de Auditoria Fiscal de Campeche,"Av. María Lavalle Urbina 3, Área Ah, 24014 San Francisco de Campeche, Camp.",-90.526511,19.853877
ADMINISTRACIÓN DE LA BENEFICENCIA PÚBLICA DEL ESTADO DE CAMPECHE,"Av. Circuito Baluartes con Av. Central Centro, 24000 San Francisco de Campeche, Camp.",-90.536129,19.84014
ADO,"Av Patricio Trueba de Regil 237, Zona Sin Asignación de Nombre, 24097 San Francisco de Campeche, Camp.",-90.532193,19.823358
Ado,"Av Gobernadores 463, Barrio de Sta Ana, 24050 San Francisco de Campeche, Camp.",-90.526383,19.843109
ADO bus station,"237, Zona Sin Asignación de Nombre, 24097 San Francisco de Campeche, Camp.",-90.531543,19.823679
ADO Campeche,"24097 San Francisco de Campeche, Camp.",-90.532465,19.823279
ADO Plaza Galerías Campeche,"Carretera Costera del Golfo S/N Plaza Galerías Campeche, Primer Piso, Zona de Islas Área, Área Ah, 24014 San Francisco de Campeche",-90.523421,19.856519
Aduana 59,"C. 59 1, Zona Centro, 24000 San Francisco de Campeche, Camp.",-90.53826,19.845678
Afore Azteca Suc. Alameda,"Av República 175 Col, Barrio de Sta Ana, 24050 San Francisco de Campeche, Camp.",-90.535295,19.840918
Afore XXI Banorte,"Av López Mateos s/n, Zona Centro, 24000 San Francisco de Campeche, Camp.",-90.537648,19.839269
Afrodita Clothes,"C. 17, Pablo García, 24080 San Francisco de Campeche, Camp.",-90.504379,19.8509
Agencia del Ministerio Publico Militar,"Av Juan de la Barrera S/N, Buenavista, 24037 San Francisco de Campeche, Camp.",-90.558615,19.828022
Agencia Reguladora del Transporte del Estado de Campeche,"Av Tormenta 11, Zona Sin Asignación de Nombre, 24097 San Francisco de Campeche, Camp.",-90.530572,19.823293
AGREGADOS BLANCAS,"Cam. Campeche-Chulbac, 24094 San Francisco de Campeche, Camp.",-90.544571,19.801109
Agroinsumos del Sureste,"Av. Heroe de Nacozari, Héroe de Nacozari, 24070 San Francisco de Campeche, Camp.",-90.511513,19.830971
Agropecuaria del Sureste,"Av Gobernadores 463, Barrio de Sta Ana, 24050 San Francisco de Campeche, Camp.",-90.52634,19.84308
Agropecuaria Santa Genoveva S.A.P.I.,"24090, C. Niebla 16, Fracciorama 2000, 24090 San Francisco de Campeche, Camp.",-90.531106,19.828067
Agrosoluciones del Sur,"Av. Heroe de Nacozari 260, 24060 San Francisco de Campeche, Camp.",-90.510187,19.826015
AgroVet Faisal,"Enmedio del último andador del mercado principal Enmedio de las otras dos veterinarias, frente a dónde venden flores, Chihuahua 16, Barrio de Sta Ana, 24050 San Francisco de Campeche, Camp.",-90.532828,19.841453
Aguilar Refacciones Campeche,"Av Gobernadores 112-x 43 y 45, Santa Ana, Barrio de Sta Ana, 24050 San Francisco de Campeche, Camp.",-90.525661,19.843305
AH Campeche,"Av. Concordia, Cd Concordia, 24085 San Francisco de Campeche, Camp.",-90.488981,19.840536
AHORROPTICAS,"C. 10 220, Zona Centro, 24000 San Francisco de Campeche, Camp.",-90.534306,19.846814
akeidigital,"C. Bahamas 26, 24095 San Francisco de Campeche, Camp.",-90.535112,19.802513
AKITA-TU RAMEN,"Brasil 132b, entre queretaro y Coah, Barrio de Sta Ana, 24050 San Francisco de Campeche, Camp.",-90.528246,19.837791
Aké Riko,"C. Peru 180, Barrio de Sta Ana, 24050 San Francisco de Campeche, Camp.",-90.52518,19.835809
Al Estilo de EL PATRÓN,"Av. Miguel Alemán 77, entre 45 y Rosales, Barrio de San Francisco, 24020 San Francisco de Campeche, Camp.",-90.52885,19.850562
Alado Del Yza,"San Rafael, 24090 San Francisco de Campeche, Camp.",-90.53952,19.830326
Albari Nails Campeche,"Av. Central 41, Barrio de Sta Ana, 24050 San Francisco de Campeche, Camp.",-90.535697,19.838589
Alberca Santa Ana,"C. Peru 146, Barrio de Sta Ana, 24050 San Francisco de Campeche, Camp.",-90.523985,19.841412
Alejandra Escalante Peluquería,"C. 10 360, Barrio de San Román, 24040 San Francisco de Campeche, Camp.",-90.54553,19.841344
Alex Fashion Boutique,"C. 114 entre avenida gobernadores y calle 103, Barrio de Sta Lucía, 24020 San Francisco de Campeche, Camp.",-90.509964,19.842754
Alex GYM Campeche,"C. Cancab-chen, Colonial Campeche Secc Maquiladora, 24087 San Francisco de Campeche, Camp.",-90.483005,19.848197
Alianza Servicios Administrativoz,"24010, Calle Mariano Escobedo 47B, Barrio de San Francisco, San Francisco de Campeche, Camp.",-90.5254,19.848204
Alimentos Balanceados La Granja,"C. 22 36, Centro, 24520 Chiná, Camp.",-90.496438,19.774995
All Safety México,"Av López Portillo 174b, Miguel Hidalgo, 24094 San Francisco de Campeche, Camp.",-90.540591,19.820257
Alpha Gimnasium,"Calle 19 / 10 y 12 #88, Samulá, 24090 San Francisco de Campeche, Camp.",-90.549518,19.817066
AM PM FITNESS CAMPECHE,"AV PEDRO SAINZ DE BARANDA 139 LOCAL 156 Centro comercial Plaza Galerías Campeche, Área Ah, 24014 SAN FRANCISCO, Camp.",-90.522386,19.856822
